"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2022-01-30,1.66466501989639,1.22906422774239,2.10026581205038,1.58334245789329,1.35895690291594,1.80772801287063,1.67243506504016,1.46018772568791,1.88468240439242,1.04735416881322,0.341188993859114,2.14244916720854,2.14244916720854,0.341188993859114,1.00222511536347,1.09248322226297,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-31,1.71348800299531,1.27005780208145,2.15691820390916,1.61713914678095,1.39518914744151,1.83908914612039,1.67290676309365,1.46716460684693,1.87864891934037,1.03236655839876,0.337584248927633,2.10851962006589,2.10851962006589,0.337584248927633,0.977520407557421,1.0872127092401,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-01,1.74709543076571,1.29600581352459,2.19818504800683,1.6399255080949,1.41956546437857,1.86028555181122,1.66457292970386,1.44911797096978,1.88002788843795,1.01789920892158,0.332869733695086,2.07892960227837,2.07892960227837,0.332869733695086,0.955090420602911,1.08070799724025,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-02,1.76294576732735,1.2970139456925,2.22887758896221,1.65375235910019,1.44357414063699,1.86393057756339,1.6452091463598,1.40724337930508,1.88317491341452,1.00369293300432,0.326957439967836,2.05315792218604,2.05315792218604,0.326957439967836,0.934844161564394,1.07254170444424,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-03,1.76224398145252,1.76224398145252,1.76224398145252,1.66018744926395,1.45876447188367,1.86161042664422,1.62012998799363,1.3586499890057,1.88160998698157,0.989944314974663,0.32003665879429,2.03131390276452,2.03131390276452,0.32003665879429,0.91684292622566,1.06304570372367,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-04,1.74713166807665,1.74713166807665,1.74713166807665,1.65789363908817,1.45148143890868,1.86430583926766,1.59492437176525,1.31586128748981,1.8739874560407,0.978129782637174,0.312991330269229,2.01542427084026,2.01542427084026,0.312991330269229,0.903558668471342,1.05270089680301,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-05,1.71975042213517,1.71975042213517,1.71975042213517,1.64456441239025,1.42181057415875,1.86731825062176,1.56755835469716,1.26908103564371,1.86603567375062,0.969352249280055,0.306562002158671,2.00679378304593,2.00679378304593,0.306562002158671,0.896434192004646,1.04227030655546,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-06,1.68224183856352,1.27986024638374,2.08462343074329,1.62506407636013,1.3831407191329,1.86698743358736,1.53570722045647,1.20885379759732,1.86256064331561,0.962721183895774,0.300486661083657,2.00355583337213,2.00355583337213,0.300486661083657,0.891469336556305,1.03397303123524,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-07,1.63674751229713,1.23436592011735,2.0391291044769,1.60435916579766,1.34657360355393,1.86214472804139,1.50892245202307,1.1594127009757,1.85843220307045,0.958244303337243,0.294980072845033,2.00518786815998,2.00518786815998,0.294980072845033,0.888529748836066,1.02795885783842,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-02-08,1.58540903827143,0.966683111858946,2.20413496468391,1.58029650593511,1.3037114546679,1.85688155720233,1.49390402245983,1.14089488310204,1.84691316181761,0.958010231387246,0.291327375224473,2.01433515107417,2.01433515107417,0.291327375224473,0.894553140409792,1.0214673223647,"All Switzerland","ILI corrected for percent positivity","2021/22"
